TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,,
192,,
196,,
200,,
204,,
208,,
212,,
216,,
220,,
224,,
228,,
232,,
236,,
240,,
244,,
248,,
252,,
256,,
260,,
264,,
268,,
272,,
276,,
280,,
284,,
288,,
292,,
296,,
300,,
304,,
308,,
312,,
316,,
320,,
324,,
328,,
332,,
336,,
340,,
344,,
348,,
352,,
356,,
360,,
364,,
368,,
372,,
376,,
380,,
384,,
388,,
392,,
396,,
400,,
404,,
408,,
412,,
416,,
420,,
424,,
428,,
432,,
436,,
440,,
444,,
448,,
452,,
456,,
460,,
464,,
468,,
472,,
476,,
480,,
484,,
488,,
492,,
496,,
500,,
504,,
508,,
512,,
516,,
520,,
524,,
528,,
532,,
536,,
540,,
544,,
548,,
552,,
556,,
560,,
564,,
568,,
572,,
576,,
580,,
584,,
588,,
592,,
596,,
600,,
604,,
608,,
612,,
616,,
620,,
624,,
628,,
632,,
636,,
640,,
644,,
648,,
652,,
656,,
660,,
664,,
668,,
672,837.5642,634.1316
676,850.8366,589.8598
680,,
684,851.1922,584.0209
688,882.0029,557.2485
692,862.7864,534.277
696,850.5969,569.7144
700,859.8167,554.0487
704,861.5931,546.4295
708,,
712,857.7256,559.737
716,871.3336,536.5404
720,871.1114,531.4445
724,,
728,864.924,549.4153
732,881.1964,545.4636
736,874.9727,517.6061
740,865.2465,539.2711
744,,
748,873.2306,518.5889
752,881.7306,538.2647
756,876.8903,539.0308
760,873.5439,513.6706
764,869.1251,543.2186
768,886.2948,525.246
772,863.6588,559.78
776,873.2547,537.6655
780,879.6624,538.1411
784,876.2402,544.5277
788,875.079,553.1848
