TimeStamp,GazePointX,GazePointY
0,,
4,,
8,,
12,,
16,,
20,,
24,,
28,,
32,,
36,,
40,,
44,,
48,,
52,,
56,,
60,,
64,,
68,,
72,,
76,,
80,,
84,,
88,,
92,,
96,,
100,,
104,,
108,,
112,,
116,,
120,,
124,,
128,,
132,,
136,,
140,,
144,,
148,,
152,,
156,,
160,,
164,,
168,,
172,,
176,,
180,,
184,,
188,1020.8146,501.236
192,1015.6391,526.479
196,1009.238,515.5414
200,1010.1573,503.0467
204,975.49,472.5294
208,1022.2538,505.7325
212,1006.8755,502.1108
216,1016.4817,520.975
220,1010.0563,513.0249
224,1031.3117,499.7121
228,1042.1249,500.8706
232,1028.8153,515.3109
236,1033.2195,503.2329
240,1016.5946,504.9544
244,1014.7579,513.8063
248,1030.4169,514.0348
252,997.3704,506.4214
256,992.0514,493.4924
260,1036.7409,496.6931
264,1045.7108,503.4585
268,1021.5854,518.2866
272,1024.4671,504.4509
276,1029.5108,504.9102
280,1044.8351,510.2718
284,994.5252,516.8145
288,1018.201,513.4404
292,1077.0102,505.1867
296,1078.0495,506.4104
300,1031.4593,499.5754
304,1034.44,495.741
308,1033.5333,498.357
312,1033.4724,489.6352
316,1020.9061,495.5803
320,1042.7165,462.5745
324,1021.8807,512.1092
328,998.6507,495.8596
332,1059.9938,520.6697
336,1047.1025,495.6257
340,1029.8323,490.926
344,1074.0776,539.648
348,1032.1486,500.6061
352,1037.6519,489.8577
356,995.6793,517.8407
360,989.19,467.261
364,988.578,500.643
368,949.9415,487.586
372,1010.4824,489.5436
376,999.8982,487.7378
380,998.5387,492.7051
384,1011.3737,492.752
388,992.015,476.8235
392,997.0338,435.7357
396,1007.3128,479.7829
400,1015.4789,498.969
404,964.2507,442.0447
408,1002.5645,477.3634
412,964.3127,461.5152
416,1009.8973,483.8235
420,1006.6681,472.4786
424,994.5358,476.9644
428,999.0508,487.1878
432,1051.6875,406.3235
436,1021.0818,486.5956
440,1029.2118,488.4571
444,1004.371,460.6237
